"PERIODO","FECHA","ZONA","DIRECCION_EXACTA","CLASE_ACCIDENTE","SEGUNDO_OBJETO","TIPO_AVERIAS","CANTIDAD_HERIDOS","CANTIDAD_FALLECIDOS","LATITUD","LONGITUD","INTERSECCI_N"
"2,019","2019 Jan 01 12:00:00 AM","URBANA","CARRERA-12","VOLCAMIENTO","NA","1","1","1","3.915866","-76.293404","POINT (-76.293404 3.915866)"
"2,019","2019 Jan 03 12:00:00 AM","URBANA","CALLE-11--CARRERA-9","CHOQUE","VEHICULO","0","0","0","3.9018604","-76.2958616","POINT (-76.2958616 3.9018604)"
"2,019","2019 Jan 03 12:00:00 AM","URBANA","CALLE-19--CARRERA-13","CHOQUE","VEHICULO","1","0","0","3.9100202","-76.2966009","POINT (-76.2966009 3.9100202)"
"2,019","2019 Jan 04 12:00:00 AM","URBANA","CARRERA-12--CALLE-8","CHOQUE","VEHICULO","1","0","0","3.9004828","-76.2994639","POINT (-76.2994639 3.9004828)"
"2,019","2019 Jan 04 12:00:00 AM","URBANA","CALLE-1--CARRERA-24","CHOQUE","VEHICULO","1","0","0","3.8969303","-76.3110354","POINT (-76.3110354 3.8969303)"
"2,019","2019 Jan 04 12:00:00 AM","URBANA","CARRERA-13--CALLE-21","CHOQUE","VEHICULO","0","1","0","3.9116583","-76.2959552","POINT (-76.2959552 3.9116583)"
"2,019","2019 Jan 05 12:00:00 AM","RURAL","VEREDA-0GALES","VOLCAMIENTO","NA","0","0","1","3.9377089","-76.2800309","POINT (-76.2800309 3.9377089)"
"2,019","2019 Jan 05 12:00:00 AM","URBANA","CALLE-19--CARRERA-13","CHOQUE","VEHICULO","1","0","0","3.9100202","-76.2966009","POINT (-76.2966009 3.9100202)"
"2,019","2019 Jan 05 12:00:00 AM","URBANA","CALLE-8--CARRERA-23","VOLCAMIENTO","NA","1","0","0","3.9038538","-76.2885992","POINT (-76.2885992 3.9038538)"
"2,019","2019 Jan 06 12:00:00 AM","URBANA","CALLE-13--CARRERA-10","CHOQUE","VEHICULO","1","0","0","3.9038503","-76.2963225","POINT (-76.2963225 3.9038503)"
"2,019","2019 Jan 07 12:00:00 AM","URBANA","CARRERA-12--CALLE-12-SUR","CHOQUE","VEHICULO","1","0","0","3.886828","-76.2989862","POINT (-76.2989862 3.886828)"
"2,019","2019 Jan 07 12:00:00 AM","URBANA","CARRERA-9--CALLE-3","CHOQUE","VEHICULO","1","0","0","3.8957097","-76.2982019","POINT (-76.2982019 3.8957097)"
"2,019","2019 Jan 08 12:00:00 AM","URBANA","CARRERA-3-CALLE-6","CHOQUE","VEHICULO","1","0","0","3.8959818","-76.2925901","POINT (-76.2925901 3.8959818)"
"2,019","2019 Jan 08 12:00:00 AM","URBANA","CALLE-19--CARRERA-13","CHOQUE","VEHICULO","1","1","0","3.9100202","-76.2966009","POINT (-76.2966009 3.9100202)"
"2,019","2019 Jan 08 12:00:00 AM","URBANA","CARRERA-9-CALLE-10","CHOQUE","VEHICULO","0","1","0","3.9010848","-76.2962038","POINT (-76.2962038 3.9010848)"
"2,019","2019 Jan 10 12:00:00 AM","URBANA","CARRERA-12-CALLE-3","CHOQUE","VEHICULO","0","1","0","3.8962197","-76.3009952","POINT (-76.3009952 3.8962197)"
"2,019","2019 Jan 11 12:00:00 AM","URBANA","CALLE-9--CARRERA-11","CHOQUE","VEHICULO","0","1","0","3.901","-76.2982436","POINT (-76.2982436 3.901)"
"2,019","2019 Jan 11 12:00:00 AM","URBANA","CALLE-16--CARRERA-7","CHOQUE","VEHICULO","0","0","0","3.9051355","-76.29193","POINT (-76.29193 3.9051355)"
"2,019","2019 Jan 12 12:00:00 AM","URBANA","CALLE-21--CARRERA-11","CHOQUE","VEHICULO","1","0","0","3.9110248","-76.2943577","POINT (-76.2943577 3.9110248)"
"2,019","2019 Jan 12 12:00:00 AM","URBANA","CARRERA-16--CALLE-1-C","CHOQUE","VEHICULO","1","1","0","3.8936127","-76.3061111","POINT (-76.3061111 3.8936127)"
"2,019","2019 Jan 13 12:00:00 AM","URBANA","CALLE-15-CARRERA-9","CHOQUE","VEHICULO","0","1","0","3.9054263","-76.2943331","POINT (-76.2943331 3.9054263)"
"2,019","2019 Jan 15 12:00:00 AM","URBANA","CARRERA-18-CALLE-4","CHOQUE","INMUEBLE","0","0","0","3.8986116","-76.306014","POINT (-76.306014 3.8986116)"
"2,019","2019 Jan 17 12:00:00 AM","URBANA","CALLE-7--CARRERA-9","CHOQUE","VEHICULO","1","0","0","3.8986738","-76.2971495","POINT (-76.2971495 3.8986738)"
"2,019","2019 Jan 18 12:00:00 AM","URBANA","CARRERA-9--CALLE-2","CHOQUE","VEHICULO","1","1","0","3.8946922","-76.2984417","POINT (-76.2984417 3.8946922)"
"2,019","2019 Jan 18 12:00:00 AM","URBANA","CARRERA-12--CALLE-3-SUR","CHOQUE","VEHICULO","0","0","0","3.8909081","-76.3023719","POINT (-76.3023719 3.8909081)"
"2,019","2019 Jan 19 12:00:00 AM","URBANA","CARRERA-16--CALLE-19","CHOQUE","VEHICULO","1","1","0","3.9113137","-76.2994247","POINT (-76.2994247 3.9113137)"
"2,019","2019 Jan 19 12:00:00 AM","URBANA","CALLE-10--CARRERA-9","CHOQUE","VEHICULO","0","1","0","3.9010848","-76.2962038","POINT (-76.2962038 3.9010848)"
"2,019","2019 Jan 21 12:00:00 AM","URBANA","CALLE-23--CARRERA-16","ATROPELLO","NA","0","1","0","3.9142338","-76.2983498","POINT (-76.2983498 3.9142338)"
"2,019","2019 Jan 21 12:00:00 AM","URBANA","CALLE-11--CARRERA-13","CHOQUE","VEHICULO","0","0","0","3.9032924","-76.2993459","POINT (-76.2993459 3.9032924)"
"2,019","2019 Jan 23 12:00:00 AM","URBANA","CARRERA-12--CALLE-14","CHOQUE","VEHICULO","1","1","0","3.905465","-76.297368","POINT (-76.297368 3.905465)"
"2,019","2019 Jan 23 12:00:00 AM","URBANA","CARRERA-19--CALLE-4","CHOQUE","VEHICULO","0","0","0","3.8986127","-76.3069452","POINT (-76.3069452 3.8986127)"
"2,019","2019 Jan 26 12:00:00 AM","URBANA","CALLE-24--CARRERA-12","CHOQUE","VEHICULO","1","1","0","3.9130875","-76.294467","POINT (-76.294467 3.9130875)"
"2,019","2019 Jan 26 12:00:00 AM","URBANA","CALLE-4-CARRERA-3","CHOQUE","VEHICULO","0","1","0","3.8939116","-76.2933592","POINT (-76.2933592 3.8939116)"
"2,019","2019 Jan 30 12:00:00 AM","URBANA","CARRERA-11-CALLE-17","CHOQUE","VEHICULO","0","1","0","3.9077377","-76.2955147","POINT (-76.2955147 3.9077377)"
"2,019","2019 Feb 02 12:00:00 AM","URBANA","CALLE-16--CARRERA-15","CHOQUE","VEHICULO","0","1","0","3.9084789","-76.2993152","POINT (-76.2993152 3.9084789)"
"2,019","2019 Feb 03 12:00:00 AM","URBANA","CALLE-10--CARRERA-13","CHOQUE","VEHICULO","0","1","0","3.9024844","-76.2996531","POINT (-76.2996531 3.9024844)"
"2,019","2019 Feb 03 12:00:00 AM","URBANA","CALLE-18-CARRERA-18","CHOQUE","VEHICULO","0","1","0","3.9106342","-76.3011569","POINT (-76.3011569 3.9106342)"
"2,019","2019 Feb 06 12:00:00 AM","URBANA","CARRERA-15--CALLE-16","CHOQUE","VEHICULO","0","0","0","3.9084789","-76.2993152","POINT (-76.2993152 3.9084789)"
"2,019","2019 Feb 06 12:00:00 AM","URBANA","CARRERA-14--CALLE-11","CHOQUE","VEHICULO","1","0","0","3.9036881","-76.3003033","POINT (-76.3003033 3.9036881)"
"2,019","2019 Feb 07 12:00:00 AM","URBANA","CARRERA-9--CALLE-19","CHOQUE","VEHICULO","1","1","0","3.9085076","-76.2930793","POINT (-76.2930793 3.9085076)"
"2,019","2019 Feb 07 12:00:00 AM","RURAL","VIA-BUGA---LA-MAGDALENA","CHOQUE","VEHICULO","0","1","0","3.88906","-76.22014","POINT (-76.22014 3.88906)"
"2,019","2019 Feb 09 12:00:00 AM","URBANA","CARRERA-15-CALLE-8","CHOQUE","VEHICULO","0","0","0","3.9013727","-76.3020434","POINT (-76.3020434 3.9013727)"
"2,019","2019 Feb 11 12:00:00 AM","URBANA","CALLE-17--CARRERA-13","CHOQUE","VEHICULO","1","0","0","3.9084385","-76.2971976","POINT (-76.2971976 3.9084385)"
"2,019","2019 Feb 11 12:00:00 AM","URBANA","CALLE-4-CARRERA-23","CHOQUE","VEHICULO","1","1","0","3.8997402","-76.3107125","POINT (-76.3107125 3.8997402)"
"2,019","2019 Feb 11 12:00:00 AM","URBANA","CARRERA-9-CALLE-12-SUR","CHOQUE","VEHICULO","0","1","0","3.8879655","-76.2967712","POINT (-76.2967712 3.8879655)"
"2,019","2019 Feb 12 12:00:00 AM","URBANA","CARRERA-13--CALLE-5","CHOQUE","VEHICULO","0","0","0","3.898103","-76.3011786","POINT (-76.3011786 3.898103)"
"2,019","2019 Feb 13 12:00:00 AM","URBANA","CARRERA-25--CALLE-15","CHOQUE","VEHICULO","1","0","0","3.9120107","-76.3059132","POINT (-76.3059132 3.9120107)"
"2,019","2019 Feb 14 12:00:00 AM","URBANA","CALLE-7-CARRERA-12","CHOQUE","VEH-EST","1","0","0","3.8995851","-76.2997603","POINT (-76.2997603 3.8995851)"
"2,019","2019 Feb 14 12:00:00 AM","URBANA","CALLE-4-CARRERA-24","CHOQUE","POSTE","1","1","0","3.8969303","-76.3110354","POINT (-76.3110354 3.8969303)"
"2,019","2019 Feb 18 12:00:00 AM","URBANA","CALLE-21-CARRERA-14","CHOQUE","VEHICULO","0","1","0","3.9119521","-76.2964982","POINT (-76.2964982 3.9119521)"
"2,019","2019 Feb 19 12:00:00 AM","URBANA","CARRERA-9--CALLE-5","CHOQUE","VEHICULO","0","1","0","3.896921","-76.2978143","POINT (-76.2978143 3.896921)"
"2,019","2019 Feb 20 12:00:00 AM","URBANA","CALLE-8--CARRERA-19","CHOQUE","VEHICULO","0","0","0","3.9027043","-76.3055363","POINT (-76.3055363 3.9027043)"
"2,019","2019 Feb 20 12:00:00 AM","URBANA","CALLE-12--CARRERA-11","CHOQUE","VEHICULO","1","0","0","3.9033414","-76.297349","POINT (-76.297349 3.9033414)"
"2,019","2019 Feb 20 12:00:00 AM","URBANA","CALLE-15-CARRERA-12","CHOQUE","VEHICULO","1","1","0","3.9064157","-76.2970652","POINT (-76.2970652 3.9064157)"
"2,019","2019 Feb 27 12:00:00 AM","URBANA","CALLE-4-CARRERA-23","CHOQUE","VEHICULO","0","1","0","3.8997402","-76.3107125","POINT (-76.3107125 3.8997402)"
"2,019","2019 Feb 28 12:00:00 AM","URBANA","CARRERA-14--CALLE-23","CHOQUE","VEHICULO","0","1","0","3.9132665","-76.2959832","POINT (-76.2959832 3.9132665)"
"2,019","2019 Mar 03 12:00:00 AM","URBANA","CARRERA-9--CALLE-12-SUR","CHOQUE","VEHICULO","0","0","0","3.8879655","-76.2967712","POINT (-76.2967712 3.8879655)"
"2,019","2019 Mar 04 12:00:00 AM","URBANA","CALLE-16-CARRERA-18","ATROPELLO","NA","1","1","0","3.916878","-76.2971463","POINT (-76.2971463 3.916878)"
"2,019","2019 Mar 04 12:00:00 AM","URBANA","CARRERA-18--CALLE-10","CHOQUE","VEHICULO","0","0","0","3.9041229","-76.3039482","POINT (-76.3039482 3.9041229)"
"2,019","2019 Mar 04 12:00:00 AM","URBANA","CALLE-3-CARRERA-10","CHOQUE","VEHICULO","1","0","0","3.8958414","-76.2989938","POINT (-76.2989938 3.8958414)"
"2,019","2019 Mar 04 12:00:00 AM","URBANA","CARRERA-9--CALLE-26","CHOQUE","VEHICULO","1","0","0","3.9126375","-76.291346","POINT (-76.291346 3.9126375)"
"2,019","2019 Mar 05 12:00:00 AM","URBANA","CARRERA-24-CALLE-13","CHOQUE","INMUEBLE","1","0","0","3.915495","-76.2981417","POINT (-76.2981417 3.915495)"
"2,019","2019 Mar 06 12:00:00 AM","URBANA","CARRERA-10--CALLE-7","CHOQUE","VEHICULO","1","1","0","3.8989651","-76.2980082","POINT (-76.2980082 3.8989651)"
"2,019","2019 Mar 09 12:00:00 AM","URBANA","CALLE-4-CARRETRA--3","CHOQUE","VEHICULO","0","0","0","3.8939116","-76.2933592","POINT (-76.2933592 3.8939116)"
"2,019","2019 Mar 12 12:00:00 AM","URBANA","CARRERA-16-CALLE-19","CHOQUE","VEHICULO","1","1","0","3.9113137","-76.2994247","POINT (-76.2994247 3.9113137)"
"2,019","2019 Mar 13 12:00:00 AM","URBANA","CALLE-1-SUR-CARRERA-12","CHOQUE","VEHICULO","0","0","0","3.8932343","-76.3017086","POINT (-76.3017086 3.8932343)"
"2,019","2019 Mar 13 12:00:00 AM","URBANA","CARRERA-11--CALLE-15","CHOQUE","VEHICULO","1","0","0","3.9061648","-76.2962973","POINT (-76.2962973 3.9061648)"
"2,019","2019 Mar 15 12:00:00 AM","URBANA","CARRERA-13-A--CALLE-8-SUR","CHOQUE","VEHICULO","1","1","0","3.8885354","-76.3018516","POINT (-76.3018516 3.8885354)"
"2,019","2019 Mar 16 12:00:00 AM","URBANA","CARRERA-9-CALLE-5","CHOQUE","VEHICULO","0","0","0","3.896921","-76.2978143","POINT (-76.2978143 3.896921)"
"2,019","2019 Mar 16 12:00:00 AM","URBANA","CARRERA-7-CALLE-16","CHOQUE","VEHICULO","1","0","0","3.9051355","-76.29193","POINT (-76.29193 3.9051355)"
"2,019","2019 Mar 21 12:00:00 AM","URBANA","CARRERA-19--CALLE-4","CHOQUE","VEHICULO","1","0","0","3.8986127","-76.3069452","POINT (-76.3069452 3.8986127)"
"2,019","2019 Mar 22 12:00:00 AM","URBANA","CARRERA-18--CALLE-4","CHOQUE","VEHICULO","1","1","0","3.8986116","-76.306014","POINT (-76.306014 3.8986116)"
"2,019","2019 Mar 24 12:00:00 AM","URBANA","CALLE-6-CARRERA-12","CHOQUE","VEHICULO","0","1","0","3.8987171","-76.3000321","POINT (-76.3000321 3.8987171)"
"2,019","2019 Mar 26 12:00:00 AM","URBANA","CALLE-8--CARRERA-13","CHOQUE","VEHICULO","0","0","0","3.9007222","-76.3002686","POINT (-76.3002686 3.9007222)"
"2,019","2019 Mar 27 12:00:00 AM","URBANA","CARRERA-1-CALLE-9","CHOQUE","VEHICULO","1","0","0","3.8980502","-76.2902521","POINT (-76.2902521 3.8980502)"
"2,019","2019 Mar 29 12:00:00 AM","URBANA","CALLE-10--CARRERA-9","CHOQUE","VEHICULO","1","1","0","3.9010848","-76.2962038","POINT (-76.2962038 3.9010848)"
"2,019","2019 Mar 30 12:00:00 AM","RURAL","SALIDA-SUR-VIA-CALI-QUEBRADA-SECA","CHOQUE","VEHICULO","0","1","0","3.872285","-76.296952","POINT (-76.296952 3.872285)"
"2,019","2019 Mar 30 12:00:00 AM","URBANA","CALLE-5--CARRRERA-4","CHOQUE","VEHICULO","0","0","0","3.8954701","-76.2936734","POINT (-76.2936734 3.8954701)"
