"CANTIDAD","ESTADO","RADICACIÓN","DEMANDADO","IDENTIFICACIÓN","FECHA 
RADICACIÓN","AUTORIDAD JUDICIAL QUE TRAMITA","TIPO DE PROCESO","TIPO DE ACCIÓN"
"1","ACTIVO","85001333300220180036000","MUNICIPIO DE YOPAL","8918550177","2018-10-16T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"2","ACTIVO","85001333300220170059500","MUNICIPIO DE YOPAL","8918550177","2017-12-18T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"3","ACTIVO","85001333300120190036100","MUNICIPIO DE YOPAL","8918550177","2019-09-05T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"4","ACTIVO","85001333300220190032700 PRINCIPAL
85001333300120180015300 ACUMULADO
85001333300220180026900 ACUMULADO","MUNICIPIO DE YOPAL","8918550177","2019-08-01T00:00:00.000","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"5","ACTIVO","85001333300220180025600","MUNICIPIO DE YOPAL","8918550177","2018-07-30T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"6","ACTIVO","85001333300220180030800","MUNICIPIO DE YOPAL","8918550177","2018-09-06T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"7","ACTIVO","85001333300220170060100","MUNICIPIO DE YOPAL","8918550177","2017-12-19T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"8","ACTIVO","85001333300220140007600
85001333300120140007300","MUNICIPIO DE YOPAL","8918550177","2014-03-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","ACCIÓN DE GRUPO"
"9","ACTIVO","85001333300120170045600","MUNICIPIO DE YOPAL","8918550177","2017-03-12T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"10","ACTIVO","85001333300120150050100","MUNICIPIO DE YOPAL","8918550177","2015-11-18T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
